species_enc,antibiotic_enc,isolation_source_enc,mic_value,multi_drug_count,gram_stain_enc,resistance,species,antibiotic,isolation_source
2063,1,0,1.0,3,1,1,S290 Escherichia coli,AMX/AMP,Clinical Sample
2073,1,0,1.0,1,0,0,S291 Morganella morganii,AMX/AMP,Clinical Sample
2083,1,0,1.0,2,1,0,S292 Proteus mirabilis,AMX/AMP,Clinical Sample
2104,1,0,1.0,3,1,0,S294 Escherichia coli,AMX/AMP,Clinical Sample
2115,1,0,1.0,2,1,1,S295 Escherichia coli,AMX/AMP,Clinical Sample
2125,1,0,1.0,3,1,1,S296 Escherichia coli,AMX/AMP,Clinical Sample
2134,1,0,1.0,3,1,1,S297 Citrobacter spp.,AMX/AMP,Clinical Sample
2144,1,0,1.0,2,1,0,S298 Enterobacteria spp.,AMX/AMP,Clinical Sample
2155,1,0,1.0,2,0,1,S299 Proeus mirabilis,AMX/AMP,Clinical Sample
2166,1,0,1.0,2,1,1,S300 Escherichia coli,AMX/AMP,Clinical Sample
2177,1,0,1.0,1,1,0,S301 Pseudomonas aeruginosa,AMX/AMP,Clinical Sample
2187,1,0,1.0,2,1,1,S302 Klebsiella pneumoniae,AMX/AMP,Clinical Sample
2197,1,0,1.0,2,1,1,S303 Escherichia coli,AMX/AMP,Clinical Sample
2216,1,0,1.0,2,1,1,S305 Escherichia coli,AMX/AMP,Clinical Sample
2227,1,0,1.0,1,1,0,S306 Escherichia coli,AMX/AMP,Clinical Sample
2237,1,0,1.0,3,1,0,S307 Escherichia coli,AMX/AMP,Clinical Sample
2248,1,0,1.0,3,1,1,S308 Escherichia coli,AMX/AMP,Clinical Sample
2259,1,0,1.0,2,1,0,S309 Escherichia coli,AMX/AMP,Clinical Sample
2268,1,0,1.0,1,1,0,S310 Enterobacteria spp.,AMX/AMP,Clinical Sample
2279,1,0,1.0,3,1,1,S311 Escherichia coli,AMX/AMP,Clinical Sample
2290,1,0,1.0,3,0,1,S312 E. coli,AMX/AMP,Clinical Sample
2301,1,0,1.0,2,1,0,S313 Escherichia coli,AMX/AMP,Clinical Sample
2311,1,0,1.0,2,1,0,S314 Escherichia coli,AMX/AMP,Clinical Sample
2319,1,0,1.0,2,0,0,S315 Klbsiella pneumoniae,AMX/AMP,Clinical Sample
2329,1,0,1.0,3,1,0,S316 Escherichia coli,AMX/AMP,Clinical Sample
2339,1,0,1.0,1,1,0,S317 Escherichia coli,AMX/AMP,Clinical Sample
2349,1,0,1.0,3,1,1,S318 Escherichia coli,AMX/AMP,Clinical Sample
2367,1,0,1.0,1,1,1,S320 Enterobacteria spp.,AMX/AMP,Clinical Sample
2384,1,0,1.0,5,1,0,S322 Escherichia coli,AMX/AMP,Clinical Sample
2404,1,0,1.0,2,1,1,S324 Pseudomonas aeruginosa,AMX/AMP,Clinical Sample
2425,1,0,1.0,3,1,1,S326 Escherichia coli,AMX/AMP,Clinical Sample
2436,1,0,1.0,3,0,1,S327 E.cli,AMX/AMP,Clinical Sample
2446,1,0,1.0,1,1,1,S328 Enterobacteria spp.,AMX/AMP,Clinical Sample
2465,1,0,1.0,2,0,0,S330 E.coi,AMX/AMP,Clinical Sample
2475,1,0,1.0,3,1,0,S331 Escherichia coli,AMX/AMP,Clinical Sample
2486,1,0,1.0,1,1,0,S332 Escherichia coli,AMX/AMP,Clinical Sample
2494,1,0,1.0,2,1,0,S333 Serratia marcescens,AMX/AMP,Clinical Sample
2504,1,0,1.0,3,1,1,S334 Escherichia coli,AMX/AMP,Clinical Sample
2515,1,0,1.0,3,1,1,S335 Enterobacteria spp.,AMX/AMP,Clinical Sample
2526,1,0,1.0,3,1,1,S336 Escherichia coli,AMX/AMP,Clinical Sample
2535,1,0,1.0,3,0,0,S337 E.coi,AMX/AMP,Clinical Sample
2546,1,0,1.0,4,1,1,S338 Escherichia coli,AMX/AMP,Clinical Sample
2556,1,0,1.0,3,1,0,S339 Escherichia coli,AMX/AMP,Clinical Sample
2566,1,0,1.0,0,1,0,S340 Pseudomonas aeruginosa,AMX/AMP,Clinical Sample
2577,1,0,1.0,1,1,0,S341 Proteus mirabilis,AMX/AMP,Clinical Sample
2587,1,0,1.0,0,0,0,S342 Morganella morganii,AMX/AMP,Clinical Sample
2598,1,0,1.0,2,1,0,S343 Citrobacter spp.,AMX/AMP,Clinical Sample
2608,1,0,1.0,3,1,1,S344 Escherichia coli,AMX/AMP,Clinical Sample
2618,1,0,1.0,0,1,0,S345 Serratia marcescens,AMX/AMP,Clinical Sample
2637,1,0,1.0,3,1,0,S347 Escherichia coli,AMX/AMP,Clinical Sample
2647,1,0,1.0,3,1,0,S348 Escherichia coli,AMX/AMP,Clinical Sample
2658,1,0,1.0,5,0,1,S349 E.cli,AMX/AMP,Clinical Sample
2669,1,0,1.0,4,0,1,S350 E.coi,AMX/AMP,Clinical Sample
2680,1,0,1.0,3,1,1,S351 Escherichia coli,AMX/AMP,Clinical Sample
2691,1,0,1.0,2,1,1,S352 Klebsiella pneumoniae,AMX/AMP,Clinical Sample
2700,1,0,1.0,3,1,1,S353 Escherichia coli,AMX/AMP,Clinical Sample
2711,1,0,1.0,4,0,1,S354 E.cli,AMX/AMP,Clinical Sample
2722,1,0,1.0,2,1,0,S355 Escherichia coli,AMX/AMP,Clinical Sample
2733,1,0,1.0,3,1,1,S356 Escherichia coli,AMX/AMP,Clinical Sample
2744,1,0,1.0,2,0,1,S357 Klebsie.lla pneumoniae,AMX/AMP,Clinical Sample
2754,1,0,1.0,5,1,1,S358 Escherichia coli,AMX/AMP,Clinical Sample
2764,1,0,1.0,2,1,1,S359 Acinetobacter baumannii,AMX/AMP,Clinical Sample
2774,1,0,1.0,1,1,1,S360 Proteus mirabilis,AMX/AMP,Clinical Sample
2784,1,0,1.0,1,1,0,S361 Escherichia coli,AMX/AMP,Clinical Sample
2795,1,0,1.0,4,1,1,S362 Escherichia coli,AMX/AMP,Clinical Sample
2805,1,0,1.0,1,1,0,S363 Klebsiella pneumoniae,AMX/AMP,Clinical Sample
2815,1,0,1.0,2,0,0,S364 Prot.eus mirabilis,AMX/AMP,Clinical Sample
2825,1,0,1.0,2,1,0,S365 Proteus mirabilis,AMX/AMP,Clinical Sample
2845,1,0,1.0,2,1,0,S367 Escherichia coli,AMX/AMP,Clinical Sample
2856,1,0,1.0,3,1,1,S368 Escherichia coli,AMX/AMP,Clinical Sample
2865,1,0,1.0,3,1,1,S369 Escherichia coli,AMX/AMP,Clinical Sample
2883,1,0,1.0,0,1,1,S371 Enterobacteria spp.,AMX/AMP,Clinical Sample
2894,1,0,1.0,1,1,0,S372 Escherichia coli,AMX/AMP,Clinical Sample
2904,1,0,1.0,2,1,1,S373 Escherichia coli,AMX/AMP,Clinical Sample
2915,1,0,1.0,4,0,1,S374 E. coli,AMX/AMP,Clinical Sample
2926,1,0,1.0,2,1,0,S375 Escherichia coli,AMX/AMP,Clinical Sample
2936,1,0,1.0,2,1,0,S376 Proteus mirabilis,AMX/AMP,Clinical Sample
2946,1,0,1.0,1,1,0,S377 Enterobacteria spp.,AMX/AMP,Clinical Sample
2966,1,0,1.0,2,1,1,S379 Escherichia coli,AMX/AMP,Clinical Sample
2976,1,0,1.0,4,1,1,S380 Escherichia coli,AMX/AMP,Clinical Sample
2986,1,0,1.0,2,1,0,S381 Proteus mirabilis,AMX/AMP,Clinical Sample
3005,1,0,1.0,3,1,1,S383 Escherichia coli,AMX/AMP,Clinical Sample
3015,1,0,1.0,1,1,0,S384 Proteus mirabilis,AMX/AMP,Clinical Sample
3026,1,0,1.0,3,0,1,S385 E. coli,AMX/AMP,Clinical Sample
3046,1,0,1.0,3,1,1,S387 Escherichia coli,AMX/AMP,Clinical Sample
3057,1,0,1.0,5,1,1,S388 Escherichia coli,AMX/AMP,Clinical Sample
3067,1,0,1.0,6,1,1,S389 Escherichia coli,AMX/AMP,Clinical Sample
3078,1,0,1.0,4,1,1,S390 Escherichia coli,AMX/AMP,Clinical Sample
3098,1,0,1.0,4,1,1,S392 Escherichia coli,AMX/AMP,Clinical Sample
3109,1,0,1.0,2,1,0,S393 Escherichia coli,AMX/AMP,Clinical Sample
3119,1,0,1.0,2,1,0,S394 Serratia marcescens,AMX/AMP,Clinical Sample
